exchange_name,event,chain,fork,factory_address
sushiswap_v2,PairCreated,celo,uniswap_v2,0xc35DADB65012eC5796536bD9864eD8773aBc74C4
uniswap_v2,PairCreated,celo,uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f
uniswap_v3,PoolCreated,celo,uniswap_v3,0xAfE208a311B21f13EF87E33A90049fC17A7acDEc
aerodrome_v2,PoolCreated,coinbase_base,solidly_v2,0x420DD381b31aEf6683db6B902084cB0FFECe40Da
alienbase_v2,PairCreated,coinbase_base,uniswap_v2,0x3E84D913803b02A4a7f027165E8cA42C14C0FdE7
baseswap_v2,PairCreated,coinbase_base,uniswap_v2,0xFDa619b6d20975be80A10332cD39b9a4b0FAa8BB
baseswap_v3,PoolCreated,coinbase_base,uniswap_v3,0x38015D05f4fEC8AFe15D7cc0386a126574e8077B
horizon_v3,PoolCreated,coinbase_base,uniswap_v3,0x07AceD5690e09935b1c0e6E88B772d9440F64718
pancakeswap_v2,PairCreated,coinbase_base,uniswap_v2,0x02a84c1b3BBD7401a5f7fa98a384EBC70bB5749E
pancakeswap_v3,PoolCreated,coinbase_base,uniswap_v3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865
scale_v2,PairCreated,coinbase_base,solidly_v2,0xEd8db60aCc29e14bC867a497D94ca6e3CeB5eC04
smardex_v2,PairCreated,coinbase_base,uniswap_v2,0xdd4536dD9636564D891c919416880a3e250f975A
sushiswap_v2,PairCreated,coinbase_base,uniswap_v2,0x71524B4f93c58fcbF659783284E38825f0622859
sushiswap_v3,PoolCreated,coinbase_base,uniswap_v3,0xc35DADB65012eC5796536bD9864eD8773aBc74C4
swapbased_v2,PairCreated,coinbase_base,uniswap_v2,0x04C9f118d21e8B767D2e50C946f0cC9F6C367300
uniswap_v2,PairCreated,coinbase_base,uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f
uniswap_v3,PoolCreated,coinbase_base,uniswap_v3,0x33128a8fC17869897dcE68Ed026d694621f6FDfD
velocimeter_v2,PairCreated,coinbase_base,solidly_v2,0xe21Aac7F113Bd5DC2389e4d8a8db854a87fD6951
pancakeswap_v2,PairCreated,ethereum,uniswap_v2,0x1097053Fd2ea711dad45caCcc45EfF7548fCB362
pancakeswap_v3,PoolCreated,ethereum,uniswap_v3,0x0BFbCF9fa4f9C56B0F40a671Ad40E0805A091865
smardex_v2,PairCreated,ethereum,uniswap_v2,0xB878DC600550367e14220d4916Ff678fB284214F
sushiswap_v2,PairCreated,ethereum,uniswap_v2,0xC0AEe478e3658e2610c5F7A4A2E1777cE9e4f2Ac
sushiswap_v3,PoolCreated,ethereum,uniswap_v3,0xbACEB8eC6b9355Dfc0269C18bac9d6E2Bdc29C4F
uniswap_v2,PairCreated,ethereum,uniswap_v2,0x5C69bEe701ef814a2B6a3EDD4B1652CB9cc5aA6f
uniswap_v3,PoolCreated,ethereum,uniswap_v3,0x1F98431c8aD98523631AE4a59f267346ea31F984
agni_v3,PoolCreated,mantle,uniswap_v3,0x25780dc8Fc3cfBD75F33bFDAB65e969b603b2035
butter_v3,PoolCreated,mantle,uniswap_v3,0xEECa0a86431A7B42ca2Ee5F479832c3D4a4c2644
cleopatra_v2,PairCreated,mantle,solidly_v2,0xAAA16c016BF556fcD620328f0759252E29b1AB57
cleopatra_v3,PoolCreated,mantle,uniswap_v3,0xAAA32926fcE6bE95ea2c51cB4Fcb60836D320C42
fusionx_v2,PairCreated,mantle,uniswap_v2,0xE5020961fA51ffd3662CDf307dEf18F9a87Cce7c
fusionx_v3,PoolCreated,mantle,uniswap_v3,0x530d2766D1988CC1c000C8b7d00334c14B69AD71
merchantmoe_v2,PairCreated,mantle,uniswap_v2,0x5bEf015CA9424A7C07B68490616a4C1F094BEdEc
puffs_penthouse_v3,PoolCreated,mantle,uniswap_v3,0x8f140Fc3e9211b8DC2fC1D7eE3292F6817C5dD5D
stratum_v2,PairCreated,mantle,solidly_v2,0x061FFE84B0F9E1669A6bf24548E5390DBf1e03b2
velocimeter_v2,PairCreated,mantle,solidly_v2,0x99F9a4A96549342546f9DAE5B2738EDDcD43Bf4C
